STATION,STATION_NAME,DATE,HPCP,Measurement Flag,Quality Flag
COOP:190770,BOSTON MA US,19480530 22:00,0.25, , 
COOP:190770,BOSTON MA US,19480530 23:00,0.25, , 
COOP:190770,BOSTON MA US,19480531 00:00,1.27, , 
COOP:190770,BOSTON MA US,19480531 01:00,1.27, , 
COOP:190770,BOSTON MA US,19480531 02:00,2.54, , 
COOP:190770,BOSTON MA US,19480531 03:00,1.27, , 
COOP:190770,BOSTON MA US,19480531 04:00,0.25, , 
COOP:190770,BOSTON MA US,19480531 08:00,0.25, , 
COOP:190770,BOSTON MA US,19480601 01:00,0,g, 
COOP:190770,BOSTON MA US,19480605 11:00,1.27, , 
COOP:190770,BOSTON MA US,19480605 12:00,4.06, , 
COOP:190770,BOSTON MA US,19480605 13:00,3.81, , 
COOP:190770,BOSTON MA US,19480605 14:00,6.6, , 
COOP:190770,BOSTON MA US,19480605 15:00,1.52, , 
COOP:190770,BOSTON MA US,19480605 16:00,0.25, , 
COOP:190770,BOSTON MA US,19480607 10:00,1.02, , 
COOP:190770,BOSTON MA US,19480607 11:00,3.3, , 
COOP:190770,BOSTON MA US,19480607 12:00,2.54, , 
COOP:190770,BOSTON MA US,19480607 13:00,1.27, , 
COOP:190770,BOSTON MA US,19480607 14:00,1.02, , 
COOP:190770,BOSTON MA US,19480607 15:00,0.25, , 
COOP:190770,BOSTON MA US,19480607 16:00,1.02, , 
COOP:190770,BOSTON MA US,19480607 17:00,0.76, , 
COOP:190770,BOSTON MA US,19480607 21:00,0.25, , 
COOP:190770,BOSTON MA US,19480607 23:00,8.38, , 
COOP:190770,BOSTON MA US,19480608 02:00,0.25, , 
COOP:190770,BOSTON MA US,19480608 03:00,0.25, , 
COOP:190770,BOSTON MA US,19480608 14:00,0.25, , 
COOP:190770,BOSTON MA US,19480608 20:00,0.25, , 
COOP:190770,BOSTON MA US,19480609 00:00,0.25, , 
COOP:190770,BOSTON MA US,19480609 01:00,0.51, , 
COOP:190770,BOSTON MA US,19480609 03:00,2.79, , 
